row,priority100,priority101,priority102,priority103,priority104,priority105,priority106,priority107,priority108,priority109,priority110,priority111,priority112,priority113,priority114,priority115,,
1,0,0,0,0,0,0.011071296,0,0,0,0.054454864,0,0.025941926,0.039942348,0,0,0,0.131410435,0
2,0,0,0,0,0,0,0,0,0,0.009686029,0,0,0.033030505,0,0.008303636,0.016117718,0.067137889,
3,0,0.008186463,0.031824855,0,0,0,0,0.053150916,0.037426587,0,0.083876149,0.022327656,0.096227772,0.014666408,0.013488122,0.075815024,0.436989952,
4,0,0,0.133058541,0,0,0,0,0,0.078617333,0,0.141382241,0.030578512,0.169226897,0.053198871,0,0,0.606062395,
5,0,0,0,0,0,0,0,0,0,0,0.080462012,0,0,0,0,0.060452323,0.140914335,
6,0.02175844,0,0,0,0,0,0,0.072237903,0.103926759,0.062437488,0,0,0,0,0,0.020082484,0.280443074,
7,0.003300151,0,0,0,0,0,0.002989482,0.088269236,0.016854356,0,0.03896578,0,0,0,0,0.026553854,0.176932859,
8,0,0,0,0,0,0,0,0,0,0.021017608,0,0.016212132,0.029909745,0,0,0,0.067139485,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013504612,0,0.013504612,
10,0,0,0.037693276,0,0,0,0,0.030464521,0,0.044213873,0,0,0,0,0,0.001268973,0.113640643,
11,0,0.009905655,0.019895652,0,0,0,0,0,0,0.075777329,0,0.055873666,0,0,0,0,0.161452302,
12,0,0.136218549,8.60E-05,0,0.024648692,0.051762984,0.033092178,0,0,0.009688566,0,0.029852879,0.047923834,0.031094376,0.002002647,0.053104695,0.41947543,
13,0,0,0.028308729,0.066949073,0,0,0,0,0,0.005730679,0,0,0,0,0,0.074191296,0.175179776,
14,0,0,0,0,0,0,0,0,0,0,0,0.03810496,0,0,0.008926842,0,0.047031802,
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,0,0,0,0,0,0,0.003304405,0,0,0.055491841,0,0.036505407,0.11242822,0.010663374,0,0.009330179,0.227723426
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011864104,0,0.011864104
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012836571,0,0.012836571
19,0,0,0,0,0,0,0,0,0.001900617,0,0.006018686,0,0,0,0.003826797,0,0.0117461
20,0,0.001979609,0,0,0,0,0,0,0,0,0,0,0,0,0.014563589,0,0.016543198
21,0,0,0,0,0.02797151,0,0,0,0,0,0.020679011,0,0.000642406,0.100846252,0,0.004702822,0.154842
22,0,0.017573971,0,0.045710452,0,0,0.170107201,0.015557965,0,0.019683391,0.004506338,0.043941727,0,0,0,0,0.317081044
23,0,0,0,0,0,0,0,0,0.045236193,0,0,0,0,0,0,0,0.045236193
24,0,0,0,0,0,0.110589487,0,0,0,0,0,0.014769011,0,0.031874345,0,0,0.157232843
25,0,0,0,0,0,0,0,0,0,0.025864991,0,0,0,0,0,0,0.025864991
26,0,0,0,0.003747144,0,0,0.017849101,0.001901291,0.024262147,0,0.020243777,0.11116633,0,0,0,0,0.17916979
27,0,0.003211693,0,0,0,0,0,0,0.003423095,0,0,0,0,0,0,0,0.006634789
28,0.039107588,0.012983783,0,0.045051229,0,0,0,0.01288412,0.011703446,0.00304969,0,0.093366382,0.004318545,0,0,0.050523447,0.272988231
29,0.054237363,0.084049674,0,0.0123561,0.023051258,0,0,0.033794418,0,0,0.028586318,0.0485591,0.047328922,0.077224158,0.084051897,0.066647953,0.55988716
30,0.004541325,0,0,0.011372455,0.0426748,0,0,0,0,0,0,0.079319048,0.019165725,0,0.135449028,0.024418618,0.316941
31,0,0.060379917,0,0,0,0,0,0,0,0,0.037464503,0,0,0.045684673,0.006240699,0.018672283,0.168442074
