Economy,Year,Income,EODB.Rank,StartingBusiness.Rank,StartingBusiness.Procedures (number),StartingBusiness.Time,StartingBusiness.Cost,StartingBusiness.Min. Capital,Dealing with Construction Permits.Rank,Dealing with Construction Permits.Procedures,Dealing with Construction Permits.Time ,Dealing with Construction Permits.Cost,Getting Electricity.Rank,Getting Electricity.Procedures,Getting Electricity.Time,Getting Electricity.Cost,Registering Property.Rank,Registering Property.Procedures,Registering Property.Time,Registering Property.Cost,Getting Credit.Rank,Getting Credit.Strength of legal rights index,Getting Credit.Depth of credit information index,Getting Credit.Public registry coverage,Getting Credit.Private bureau coverage,Protecting Investors.Rank,Protecting Investors.Extent of disclosure index,Protecting Investors.Extent of director liability index,Protecting Investors.Ease of shareholder suits index,Protecting Investors.Strength of investor protection index,Paying Taxes.Rank,Paying Taxes.Payments,Paying Taxes.Time,Paying Taxes.Profit tax,Paying Taxes.Labor tax and contributions,Paying Taxes.Other taxes,Paying Taxes.Total tax rate,Trading Across Borders.Rank,Trading Across Borders.Documents to export,Trading Across Borders.Time to export,Trading Across Borders.Cost to export,Trading Across Borders.Documents to import,Trading Across Borders.Time to import,Trading Across Borders.Cost to import ,Enforcing Contracts.Rank,Enforcing Contracts.Time,Enforcing Contracts.Cost,Enforcing Contracts.Procedures,Resolving Insolvency.Rank,Resolving Insolvency.Time,Resolving Insolvency.Cost,Resolving Insolvency.Outcome ,Resolving Insolvency.Recovery rate 
Afghanistan,DB2013,1,170,31,4,7,22.5,0,170,12,334,3453.9,111,4,109,3494.3,176,9,250,5,154,6,0,0,0,189,1,1,1,1,95,20,275,0,0,36.3,36.3,181,10,74,3545,10,77,3830,170,1642,25,47,118,2,25,0,26.4
Albania,DB2013,3,82,68,5,4.5,22.3,0,189,no practice,no practice,no practice,155,6,177,573.7,115,6,33,11.4,11,9,5,19.7,0,14,7,9,6,7.3,146,44,357,9.3,18.8,3.9,32,84,7,19,745,8,18,730,96,450,35.7,39,65,2,10,0,39.6
Algeria,DB2013,3,151,159,14,25,12.1,27.2,136,19,241,54.6,139,5,158,1489.9,174,10,63,7.1,126,3,4,2.3,0,95,5,6,4,5,173,29,451,6.6,29.6,35.7,71.9,131,8,17,1260,9,27,1330,128,630,21.9,45,61,2.5,7,0,41.7
Angola,DB2013,3,178,175,8,66,143.1,24.6,56,12,204,31.3,167,7,145,754.9,132,7,191,3.1,126,3,4,1.8,0,80,4,6,6,5.3,156,30,282,25.2,9,17.9,52.1,167,9,48,1850,8,45,2690,187,1296,44.4,46,189,no practice,no practice,no practice,0
Antigua and Barbuda,DB2013,4,66,85,8,21,10.9,0,19,10,134,23.4,20,4,42,131.3,123,7,26,10.9,126,7,0,0,0,32,4,8,7,6.3,149,57,207,26.2,9.5,5.3,41,91,5,16,1090,7,23,1520,66,351,22.7,44,83,3,7,0,35.2
Argentina,DB2013,3,121,155,14,25,12.3,5.7,181,24,365,177.9,77,6,91,36,134,7,53.5,7,71,4,6,37,100,95,7,2,6,5,152,9,405,3,29.4,75.4,107.8,134,6,13,1650,9,30,2260,49,590,18.5,36,94,2.8,12,0,30.8
Armenia,DB2013,,40,10,3,8,2.5,0,71,21,84,66.5,107,5,242,107.3,4,3,7,0.2,40,6,6,20.5,56,21,6,6,8,6.7,112,13,380,15,23,0.9,38.8,116,5,16,1885,8,18,2175,117,570,19,49,76,1.9,11,0,36.1
Australia,DB2013,4,10,4,3,2.5,0.7,0,10,11,112,13.4,36,5,75,8.7,38,5,4.5,5.1,3,10,5,0,100,67,8,2,7,5.7,49,11,109,26.2,20.3,0.7,47.2,43,5,9,1100,7,8,1120,14,395,21.8,28,18,1,8,1,80.8
Austria,DB2013,4,28,133,8,25,4.9,49.1,83,13,194,57.3,26,5,23,104.5,34,3,20.5,4.6,24,7,6,1.8,52.6,95,5,5,5,5,79,12,170,15.3,34.7,2.4,52.4,21,3,9,1090,4,8,1155,6,397,18,25,12,1.1,10,1,83.3
Azerbaijan,DB2013,3,71,16,6,8,2.3,0,179,28,212,292.4,179,9,241,591.2,11,4,11,0.5,52,6,5,17.7,0,21,7,5,8,6.7,79,18,214,12.9,24.8,2.2,40,169,9,29,3430,11,26,3490,27,237,18.5,40,95,2.7,8,0,30.6
"Bahamas, The",DB2013,4,76,78,7,23.5,10.3,0,66,14,178,27.8,43,5,67,103.1,182,7,122,14.1,82,9,0,0,0,113,2,5,7,4.7,50,18,58,0,6.1,40.5,46.6,67,5,19,1005,5,13,1495,123,427,28.9,49,32,3,12,1,62.9
Bahrain,DB2013,4,47,90,7,9,0.7,229.9,4,12,60,9.5,51,5,90,56.3,30,2,31,2.7,154,3,3,0,23.5,113,8,4,2,4.7,8,13,36,0,13.5,0,13.5,79,7,11,955,8,15,995,119,635,14.7,48,27,2.5,10,1,66.2
Bangladesh,DB2013,1,132,83,7,18.5,20,0,80,11,201,126.5,189,9,404,5193.8,177,8,245,6.8,82,7,2,0.8,0,21,6,7,7,6.7,98,20,302,25.7,0,9.2,35,126,6,25,1025,8,34,1430,185,1442,66.8,41,121,4,8,0,25.5
Barbados,DB2013,4,84,69,8,18,7.2,0,54,10,442,8.3,83,7,65,61,139,6,153,5.6,82,9,0,0,0,169,2,1,6,3,108,28,237,25.5,12.3,3,40.8,31,5,9,810,5,8,1615,108,1340,19.7,38,28,1.8,15,1,65.1
Belarus,DB2013,3,64,20,6,10,2.3,0,37,12,135,40.9,175,7,179,838.8,3,2,10,0,105,3,5,56.2,0,95,7,0,8,5,135,10,338,20.1,39,1.4,60.5,150,9,15,1510,10,30,2315,13,275,23.4,29,56,3,22,1,43
