"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333728954791206,0.000279433143025983,0,0,0,0,0,0,0,0,0,0,0,0.000889807731947202,0.00402611225285823,0.00588878715323144,0.00368721527025406,0.000745661847516932,0,0,0,0.00702492450928348,0,0.003564309242388,0,0,0,0.00726698759608037,0,0,0.00427652073143387,0.00453557477244966,0.00129988666632797,0,0,0,0.00449814915090517,0.00429783017659149,0,0,0,0,0,0,0.000412581185692968,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00838168949583033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00376855922355852,0.00498285306897605,0,0,0.00561933641168772,0,0,0,0,0,0.00493101370588061,0,0,0,0,0,0,0,0,0,0,0.00268026033993995,0,0,0,0.00707520558187219,0,0,0,0,0,0,0.00150581923685146,0,0.00623372632764853,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195822123879227,0,0,0,0,0,0,0,0,0,0,0.00415426377923194,0,0.00204477696791137,0,0,0.00308629861930795,0,0,0,0,0,0,0,0,0,0.00487548068298343,0,0,0,0,0,0,0,0.00668818161627719,0,4.4302457949444e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110831487323435,0,0,0,0,0.00159500187162374,0,0.00604653970308913,0.00772950258009834,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000760285550441606,0.000699760718418424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186136472445557,0.00361032318792166,0.00573183504714089,0,0,0,0.00895451089571127,0,0,0,0.00711732103862682,0,0.00260684893708279,0,0.00488605651559005,0.00538221987035031,0.00316582179523396,0,0.00176976493201821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00335101633505761,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151666336441711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00515443011398081,0.00386362185243533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00388350583870597,0,0,0,0,0.00506479906798179,0,0,0,0,0,0.000222229069040929,0,0,0,0.0029000380429333,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318503803226999,0,0,0,0,0,0,0,2.0736011394435e-06,0,0,0,0,0,0,0.00170957997288351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307893523091442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342764694151582,0.00362126554920357,0,0,0,0,0,0,0,0,0,0,0,0.0045273908819832
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020332396588661,0.0104668988181834,0.00109827646242634,0,0,0,0,0,0,0.00573028170436374,0.00246425545066873,0,0.00304813845657437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588042219584396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185506037519451,0,0,0.00583095442380033,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00327043917631247,0,0.00444488442632533,0.00543131116596627,0,0,0,0,0,0,0,0,0,0.00491697296561995,0,0,0.00726984164914483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000727595321264811,0,0,0,0,0,0,0,0,0,0,0,0,0.00696018609617223,0.000150054455601941,0,0,0,0.000793960148385857,0.0058667751977447,0,0,0,0,0,0,0,1.16514855729901e-05,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00230290248168944,0,0.00639473757367467,0.00103706858795029,0,0,0,0,0,0,0,0.0015003805495594,0,0,0,0.00149854900135672,0,0.0023319986681074,0,0,0,0,0,0,0,0,0,0,0,0,0.00589422701770516,0,7.4950099918592e-05,0,0.00230098129040554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014608385929021,0,0,0,0.0016999722905064,0.00492801223029233,0.005248007,0.000893476969262342,0.000379264934328666,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00140802167120866,0.00133430855497089,0.00227450656086612,0.00186830563051144,0,0,0,0,0,0,0,0.00180477326133291,0,0,0.00159199610534217,0,0,0,0,0,0.00528310476436312,0,0.00224631373045876,0,0.000242219998319038,0,0.000296057484409953,0.000777077844628625,0.00560641359321191,0.00774490864197949,0,0,0,0,0,0,0,0,0.0026240474915875,0,0,0.000895013384169688,0,0,0,0.00640675561762554,0.00700697571434167,0,0,0,0,0.0015278841180168
