,coeffsum,IndicatorWidth,priority100,priority101,priority102,priority103,priority104,priority105,priority106,priority107,priority108,priority109,priority110,priority111,priority112,priority113,priority114,priority115
52,0.192265149,0.011830304,0,0.114985672,0,0,0.047131185,0,0.030148292,0,0,0,0,0,0,0,0,0
53,0.126595623,0.00778958,0.006705236,0,0,0,0,0,0,0.012903376,0,0.014545685,0,0,0.092441326,0,0,0
54,0.350772932,0.021583476,0,0,0.018012245,0,0,0,0,0.095346363,0.237414324,0,0,0,0,0,0,0
55,0.167916499,0.010332102,0,0,0,0,0,0,0.094764207,0,0,0,0.047337785,0.025814507,0,0,0,0
56,0.135099865,0.008312856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008845478,0.030547439,0.095706948
57,0.305072394,0.018771468,0,0,0,0.054460449,0,0,0,0,0,0.104122079,0.032667477,0.113822389,0,0,0,0
58,0.150206498,0.009242385,0,0,0,0,0,0,0,0,0.027627813,0.113876806,0,0.008701879,0,0,0,0
59,0.158686911,0.009764195,0,0.024472453,0.025921842,0,0,0,0,0,0.080089658,0,0,0,0.028202958,0,0,0
60,0.08529019,0.005248007,0,0,0,0,0,0,0,0,0.08529019,0,0,0,0,0,0,0
61,0.214098614,0.013173743,0,0.10131002,0.098267878,0,0,0,0,0,0.014520716,0,0,0,0,0,0,0
62,0.131972392,0.008120419,0,0,0.12561925,0,0,0,0,0.000189359,0.006163783,0,0,0,0,0,0,0
63,0.098409851,0.006055275,0,0,0,0,0,0.073578799,0,0,0,0.024831052,0,0,0,0,0,0
